period,season,pairing,margin_band,site_control,overall_volume_control,n_games,mean_plays_diff,mean_plays_total,more_plays_rate,mean_play_residual,mean_rank_signal_location_shift,quality_slope,quality_spearman,next_margin_slope,next_margin_spearman
training_2004_2017,2010,fbs-fcs,"(0,14]",home/neutral included as a model covariate,plays_total included as a model covariate,15,0.9333333333333333,132.8,0.5333333333333333,0.17009878556026514,0.08962590284930026,0.09610626902410166,0.37499999999999994,-9.514784441733186,-0.12701272559423968
training_2004_2017,2010,fbs-fcs,"(14,28]",home/neutral included as a model covariate,plays_total included as a model covariate,20,2.55,133.45,0.6,-0.029175197370322148,0.11267649022994553,-0.05781132020736236,-0.10977443609022557,-3.8535903812036363,-0.22874348085666488
training_2004_2017,2010,fbs-fcs,>28,home/neutral included as a model covariate,plays_total included as a model covariate,48,4.916666666666667,130.25,0.6458333333333334,-0.12326099158282162,0.14086537831556992,0.017547993470800754,0.029635258358662615,1.6118124676404866,-0.033497110041694915
training_2004_2017,2011,fbs-fbs,"(-14,0]",home/neutral included as a model covariate,plays_total included as a model covariate,154,2.0064935064935066,141.8896103896104,0.5324675324675324,0.10946487120439649,-0.02528538487436832,-0.008937173245272064,-0.018705929513507826,-3.519159194437751,-0.1223947242054029
training_2004_2017,2011,fbs-fbs,"(-28,-14]",home/neutral included as a model covariate,plays_total included as a model covariate,86,-2.4186046511627906,140.65116279069767,0.3953488372093023,-0.10071350959122823,-0.05006417339398697,0.03253015341233686,0.14630004387182854,-0.5294609425027504,-0.019439281056426894
training_2004_2017,2011,fbs-fbs,"(0,14]",home/neutral included as a model covariate,plays_total included as a model covariate,200,0.32,140.2,0.53,0.02185446202188092,0.019483468266661686,-0.00677662927063122,-0.00198380033893374,-3.5952333430334886,-0.09231898023571934
training_2004_2017,2011,fbs-fbs,"(14,28]",home/neutral included as a model covariate,plays_total included as a model covariate,132,4.71969696969697,138.4318181818182,0.6136363636363636,0.15090695621674108,0.038344137511209596,-0.0068898996567521974,0.007518806800326246,-2.7767752882320664,-0.06111492462548076
training_2004_2017,2011,fbs-fbs,<=-28,home/neutral included as a model covariate,plays_total included as a model covariate,45,-6.955555555555556,136.64444444444445,0.3333333333333333,-0.09142885566710314,-0.07049258540440567,-0.04045968139380022,-0.19051383399209484,2.91662959194899,0.039536111020123034
training_2004_2017,2011,fbs-fbs,>28,home/neutral included as a model covariate,plays_total included as a model covariate,91,8.395604395604396,136.26373626373626,0.6923076923076923,0.11312537459991744,0.0686053861984514,-0.0009217788601082865,-0.042013059404363756,-1.3454000806635804,-0.07119901125669145
training_2004_2017,2011,fbs-fcs,"(-14,0]",home/neutral included as a model covariate,plays_total included as a model covariate,4,8.25,135.75,1.0,0.8486954301929778,0.13657469644671752,0.795430956754983,0.7999999999999999,3.0076468951548283,0.19999999999999998
training_2004_2017,2011,fbs-fcs,"(-28,-14]",home/neutral included as a model covariate,plays_total included as a model covariate,1,28.0,146.0,1.0,1.9795349268461444,-0.048676894155899486,,,,
training_2004_2017,2011,fbs-fcs,"(0,14]",home/neutral included as a model covariate,plays_total included as a model covariate,14,-1.8571428571428572,142.28571428571428,0.5,-0.012658700202361761,0.0896136942716541,0.04923420174514552,0.015384615384615385,10.61094034640396,0.22637362637362637
training_2004_2017,2011,fbs-fcs,"(14,28]",home/neutral included as a model covariate,plays_total included as a model covariate,29,3.793103448275862,131.51724137931035,0.4827586206896552,-0.04907504587095546,0.10055591491532336,0.04381869972912783,0.11921182266009848,6.976417054831284,0.3570724928497984
training_2004_2017,2011,fbs-fcs,<=-28,home/neutral included as a model covariate,plays_total included as a model covariate,1,11.0,123.0,1.0,0.8051433282622774,0.07939052601460395,,,,
training_2004_2017,2011,fbs-fcs,>28,home/neutral included as a model covariate,plays_total included as a model covariate,48,11.4375,131.60416666666666,0.7916666666666666,0.2718579180020764,0.1425736422207821,-0.018610162739383162,-0.09693877551020409,-2.2403858007357282,-0.07315683707964286
training_2004_2017,2012,fbs-fbs,"(-14,0]",home/neutral included as a model covariate,plays_total included as a model covariate,187,0.8128342245989305,145.048128342246,0.48663101604278075,0.04116345982190582,-0.029225726264354945,0.010644423164177949,0.06473267537501055,-0.9587625790258061,-0.0379719135033228
training_2004_2017,2012,fbs-fbs,"(-28,-14]",home/neutral included as a model covariate,plays_total included as a model covariate,79,-1.9113924050632911,141.27848101265823,0.4936708860759494,-0.01764968275350136,-0.04601560287248691,-0.0022024639738620457,-0.016480038948393377,0.2264120461746725,0.03330939126868104
training_2004_2017,2012,fbs-fbs,"(0,14]",home/neutral included as a model covariate,plays_total included as a model covariate,191,1.3979057591623036,145.70157068062827,0.5026178010471204,0.0682418695248367,0.02226028135764357,-0.021050821783393323,-0.1302589083851166,-0.43108758924617413,-0.02103326812213838
training_2004_2017,2012,fbs-fbs,"(14,28]",home/neutral included as a model covariate,plays_total included as a model covariate,128,2.609375,140.78125,0.5859375,0.002389402217672476,0.03774609450711798,0.0005781895069457256,0.017619254715253618,1.2182331060530223,0.0338280244452602
training_2004_2017,2012,fbs-fbs,<=-28,home/neutral included as a model covariate,plays_total included as a model covariate,48,-5.833333333333333,140.29166666666666,0.22916666666666666,-0.06137818343552737,-0.060651097228563204,0.037943565624619105,0.2042987407729049,0.9800070270360824,-0.012446340094376795
training_2004_2017,2012,fbs-fbs,>28,home/neutral included as a model covariate,plays_total included as a model covariate,99,3.4444444444444446,139.5050505050505,0.5858585858585859,-0.1856189786472015,0.05901057244657814,0.011589698596284517,0.033896208708290396,0.0822955063078276,0.00887908864873621
training_2004_2017,2012,fbs-fcs,"(-14,0]",home/neutral included as a model covariate,plays_total included as a model covariate,5,-5.0,141.8,0.2,-0.22208832283209815,0.03163871819126527,-0.016356363657156342,-0.09999999999999999,14.816032427324702,0.49999999999999994
training_2004_2017,2012,fbs-fcs,"(-28,-14]",home/neutral included as a model covariate,plays_total included as a model covariate,5,-19.4,129.8,0.0,-1.3721519096653176,0.05642338318428952,0.4400402441400422,0.3,3.08479402169088,-0.09999999999999999
training_2004_2017,2012,fbs-fcs,"(0,14]",home/neutral included as a model covariate,plays_total included as a model covariate,16,1.0625,139.6875,0.5,0.1785902695229799,0.10686215478224528,-0.0008302224531802944,-0.014705882352941175,4.091821214129709,0.284241839925293
training_2004_2017,2012,fbs-fcs,"(14,28]",home/neutral included as a model covariate,plays_total included as a model covariate,24,2.75,137.16666666666666,0.5,-0.11233952842711242,0.11437358741831168,0.029251125549821372,0.17043478260869566,-1.0358239655444488,-0.04568197622755242
