season,field,raw_name,normalized_name,team_id,canonical_name,match_method,record_count
2022,origin,Boise State,boise state,68,Boise State,exact_normalized_name,6
2022,origin,Boston College,boston college,103,Boston College,exact_normalized_name,13
2022,origin,Bowling Green,bowling green,189,Bowling Green,exact_normalized_name,13
2022,origin,Buffalo,buffalo,2084,Buffalo,exact_normalized_name,27
2022,origin,Cal Poly,cal poly,,,not_in_fbs_population_or_unrecognized,2
2022,origin,California,california,25,California,exact_normalized_name,11
2022,origin,Campbell,campbell,,,not_in_fbs_population_or_unrecognized,3
2022,origin,Central Arkansas,central arkansas,,,not_in_fbs_population_or_unrecognized,2
2022,origin,Central Michigan,central michigan,2117,Central Michigan,exact_normalized_name,17
2022,origin,Central Missouri,central missouri,,,not_in_fbs_population_or_unrecognized,1
2022,origin,Charleston Southern,charleston southern,,,not_in_fbs_population_or_unrecognized,1
2022,origin,Charlotte,charlotte,2429,Charlotte,exact_normalized_name,9
2022,origin,Cincinnati,cincinnati,2132,Cincinnati,exact_normalized_name,10
2022,origin,Clemson,clemson,228,Clemson,exact_normalized_name,10
2022,origin,Coastal Carolina,coastal carolina,324,Coastal Carolina,exact_normalized_name,16
2022,origin,Colgate,colgate,,,not_in_fbs_population_or_unrecognized,1
2022,origin,Colorado,colorado,38,Colorado,exact_normalized_name,24
2022,origin,Colorado State,colorado state,36,Colorado State,exact_normalized_name,22
2022,origin,Columbia,columbia,,,not_in_fbs_population_or_unrecognized,2
2022,origin,Cornell,cornell,,,not_in_fbs_population_or_unrecognized,2
2022,origin,Dartmouth,dartmouth,,,not_in_fbs_population_or_unrecognized,6
2022,origin,Delaware,delaware,,,not_in_fbs_population_or_unrecognized,2
2022,origin,Drake,drake,,,not_in_fbs_population_or_unrecognized,1
2022,origin,Duke,duke,150,Duke,exact_normalized_name,13
2022,origin,Duquesne,duquesne,,,not_in_fbs_population_or_unrecognized,1
2022,origin,East Carolina,east carolina,151,East Carolina,exact_normalized_name,28
2022,origin,East Central,east central,,,not_in_fbs_population_or_unrecognized,1
