variant,kind,target_season,n_team_seasons,nll,delta_vs_E0_nll,crps,delta_vs_E0_crps,expected_rank_mae,delta_vs_E0_expected_rank_mae,median_rank_mae,delta_vs_E0_median_rank_mae,interval_80_coverage,delta_vs_E0_interval_80_coverage,interval_80_average_width,delta_vs_E0_interval_80_average_width
E5-M_impact_availability_only,missingness_control,2022,131,4.468139873729568,0.001260918988217341,0.10708340994845743,2.565881560126493e-06,18.730810855509414,0.05053584022687474,18.893129770992367,0.03816793893129855,0.8315092430791869,0.005702198105398737,72.09923664122137,0.0
E5-M_impact_availability_only,missingness_control,2023,133,4.473074330817564,0.0008677604309434983,0.10421331563420402,-0.00021892894274760932,19.240913220435214,-0.0382094497014549,19.44736842105263,-0.09774436090225791,0.8708595813858971,0.0038610038610038533,72.45112781954887,0.33082706766917624
E5-M_impact_availability_only,missingness_control,2024,134,4.583976737817876,-4.6803802394634886e-05,0.11831341583522835,3.0158653156503457e-05,20.92533206667264,-0.09266392763484177,21.574626865671643,-0.13432835820895406,0.8044776119402984,-9.95024875622974e-05,71.25373134328358,0.380597014925371
E5-M_impact_availability_only,missingness_control,2025,136,4.626535027255324,-0.015955517046617906,0.11583450013439889,-0.0018902250052693637,21.38151146755241,-0.231701472904021,21.955882352941178,-0.242647058823529,0.8058017727639001,0.0026188557614826857,73.65441176470588,1.07352941176471
E6-M_availability_only,missingness_control,2022,131,4.468141832689564,0.0012628779482133368,0.10708374793687944,2.903869982140428e-06,18.73086262760789,0.05058761232535147,18.893129770992367,0.03816793893129855,0.8315092430791869,0.005702198105398737,72.09923664122137,0.0
E6-M_availability_only,missingness_control,2023,133,4.473072493722439,0.0008659233358185858,0.10421319103202237,-0.0002190535449292652,19.240826624321173,-0.03829604581549617,19.44736842105263,-0.09774436090225791,0.8708595813858971,0.0038610038610038533,72.45112781954887,0.33082706766917624
E6-M_availability_only,missingness_control,2024,134,4.58398473049712,-3.8811123150850335e-05,0.11831417420017785,3.091701810600811e-05,20.925360722086868,-0.0926352722206154,21.574626865671643,-0.13432835820895406,0.8044776119402984,-9.95024875622974e-05,71.26119402985074,0.3880597014925371
E6-M_availability_only,missingness_control,2025,136,4.62653181763798,-0.015958726663961365,0.11583395629453315,-0.0018907688451351018,21.381448203366556,-0.23176473708987544,21.955882352941178,-0.242647058823529,0.8058017727639001,0.0026188557614826857,73.65441176470588,1.07352941176471
E4P_experience_within_season_permutation,permutation_control,2022,131,4.468650076898228,0.0017711221568772473,0.10716705371098359,8.620964408628806e-05,18.74251365749239,0.06223864220984865,18.931297709923665,0.0763358778625971,0.8316012140163709,0.005794169042582675,72.07633587786259,-0.022900763358777
E4P_experience_within_season_permutation,permutation_control,2023,133,4.47287914613692,0.0006725757502996643,0.10419025739153175,-0.00024198718541988684,19.243943334194988,-0.03517933594168099,19.454887218045112,-0.09022556390977599,0.871164397480187,0.004165819955293748,72.50375939849624,0.38345864661654616
