season,cutoff,season_phase,team_id,team_name,games_played,games_played_bucket,performance_expected_rank,predictive_expected_rank,performance_minus_predictive_expected_rank,performance_median_rank,predictive_median_rank,performance_minus_predictive_median_rank,performance_interval_80_width,predictive_interval_80_width,pmf_tv,rated
2026,2026-09-06T17:34:56.895103+00:00,current,194,Ohio State,1,1-3,31.898948573502377,5.975176209571944,25.923772363930432,24,4,20,69,12,0.5946767142162648,True
2026,2026-09-06T17:34:56.895103+00:00,current,195,Ohio,1,1-3,94.40271494013797,92.6805212103374,1.7221937298005656,101,98,3,86,75,0.10721585127930197,True
2026,2026-09-06T17:34:56.895103+00:00,current,197,Oklahoma State,1,1-3,92.28573166385023,107.37652540153178,-15.090793737681551,98,113,-15,87,58,0.2306682949511161,True
2026,2026-09-06T17:34:56.895103+00:00,current,201,Oklahoma,1,1-3,34.11558262838294,14.608462578424538,19.507120049958402,26,11,15,73,28,0.3745351116301277,True
2026,2026-09-06T17:34:56.895103+00:00,current,202,Tulsa,1,1-3,66.1984653000706,87.11566531025971,-20.91720001018912,66,91,-25,96,76,0.2674090763337484,True
2026,2026-09-06T17:34:56.895103+00:00,current,204,Oregon State,1,1-3,72.84094982171484,88.44129485390143,-15.600345032186581,73,92,-19,95,77,0.21123736839838886,True
2026,2026-09-06T17:34:56.895103+00:00,current,213,Penn State,1,1-3,28.869247041109595,25.631397101904685,3.23784993920491,21,20,1,65,48,0.1553687081205405,True
2026,2026-09-06T17:34:56.895103+00:00,current,218,Temple,1,1-3,65.35794024135905,84.02931059522366,-18.671370353864617,64,87,-23,99,82,0.2358981538014373,True
2026,2026-09-06T17:34:56.895103+00:00,current,221,Pittsburgh,1,1-3,31.269335036469734,30.21805633569426,1.0512787007754731,23,24,-1,68,54,0.15207247061005497,True
2026,2026-09-06T17:34:56.895103+00:00,current,228,Clemson,1,1-3,103.36292327718186,59.82671855860237,43.53620471857949,112,57,55,75,81,0.5318660585616128,True
2026,2026-09-06T17:34:56.895103+00:00,current,235,Memphis,2,1-3,48.13477597987345,57.61584775348333,-9.481071773609877,44,56,-12,78,73,0.1478178173164223,True
2026,2026-09-06T17:34:56.895103+00:00,current,238,Vanderbilt,1,1-3,73.68363287437093,50.79858939839727,22.88504347597366,75,46,29,99,81,0.2806479470096336,True
2026,2026-09-06T17:34:56.895103+00:00,current,239,Baylor,1,1-3,64.36040258547052,58.23319162759138,6.127210957879143,63,56,7,95,80,0.11671713070726869,True
2026,2026-09-06T17:34:56.895103+00:00,current,242,Rice,1,1-3,66.7458254745816,93.42169072040826,-26.67586524582667,66,99,-33,99,78,0.31772698243047515,True
2026,2026-09-06T17:34:56.895103+00:00,current,245,Texas A&M,1,1-3,29.95969590165514,12.795333374244526,17.164362527410617,22,9,13,65,25,0.3542192407854272,True
2026,2026-09-06T17:34:56.895103+00:00,current,248,Houston,1,1-3,64.02528098617451,44.90110036994152,19.12418061623299,63,40,23,96,73,0.2544867068895274,True
2026,2026-09-06T17:34:56.895103+00:00,current,249,North Texas,1,1-3,92.2986729327715,92.7633494688662,-0.46467653609470005,99,98,1,89,77,0.09745439431994363,True
2026,2026-09-06T17:34:56.895103+00:00,current,251,Texas,1,1-3,26.333273231961424,9.84559188488029,16.487681347081136,18,7,11,60,19,0.37011510488114585,True
2026,2026-09-06T17:34:56.895103+00:00,current,252,BYU,1,1-3,54.9150800927024,22.817747733353997,32.0973323593484,51,16,35,96,48,0.43790098021791307,True
2026,2026-09-06T17:34:56.895103+00:00,current,254,Utah,1,1-3,46.88093523301588,23.175614529455448,23.705320703560435,41,17,24,90,46,0.35716316888339333,True
2026,2026-09-06T17:34:56.895103+00:00,current,256,James Madison,1,1-3,72.32111923904182,64.60578630375842,7.715332935283399,73,64,9,96,82,0.13393741761398714,True
2026,2026-09-06T17:34:56.895103+00:00,current,258,Virginia,1,1-3,33.320844485467774,38.270053641236004,-4.94920915576823,25,32,-7,72,66,0.16037842711735129,True
2026,2026-09-06T17:34:56.895103+00:00,current,259,Virginia Tech,1,1-3,38.91170217817569,47.33977219010653,-8.428070011930842,32,44,-12,80,75,0.18003349454933423,True
2026,2026-09-06T17:34:56.895103+00:00,current,264,Washington,0,0,69.50000000000001,33.822988630462184,35.67701136953783,70,26,44,111,66,0.4121529071753125,False
2026,2026-09-06T17:34:56.895103+00:00,current,265,Washington State,0,0,69.50000000000001,55.739508274194044,13.76049172580597,70,52,18,111,88,0.19863896423821992,False
